Epoch,Anxiety,Asthma,Atrial Fibrillation,Breast Cancer,COVID-19,Cancer,Colorectal Cancer,Coronary Artery Disease,Covid19,Depression,Diabetes,"Diabetes Mellitus, Type 2",Healthy,Healthy Volunteers,Heart Failure,Hypertension,Obesity,Pain,Prostate Cancer,Stroke
1701424800000,55,25,50,104,91,43,46,42,39,47,19,37,77,19,46,56,76,38,49,112
1704103200000,16,16,14,33,31,16,14,8,9,18,6,14,42,11,20,25,25,20,15,33
1706781600000,19,16,12,31,28,9,20,11,6,13,,12,32,10,10,17,15,19,12,25
1709287200000,25,11,16,27,31,17,22,14,14,25,8,18,39,9,20,15,19,24,14,33
1711965600000,28,8,15,36,28,17,9,12,3,25,6,16,23,11,18,17,24,25,13,33
1714557600000,30,10,18,49,27,16,10,12,9,36,9,15,36,17,11,16,39,23,11,31
1717236000000,29,16,17,41,35,27,29,22,13,30,17,22,44,18,30,20,45,19,17,39
1719828000000,22,10,17,42,29,24,17,17,7,36,11,17,50,15,19,22,37,34,13,38
1722506400000,38,15,14,41,22,15,18,15,6,34,8,18,43,17,21,17,28,20,16,23
1725184800000,26,21,21,32,19,23,16,17,6,25,10,12,36,13,25,16,24,34,31,45
